Mes,Arrastre de un skip,Lo elegi yo,Siguio solo,Otro
2014-08,0.0,100.0,0.0,0.0
2014-09,12.45,0.0,61.81,25.74
2014-10,13.76,5.7,74.89,5.65
2014-11,13.85,1.21,77.02,7.93
2014-12,11.28,4.75,77.85,6.12
2015-01,15.12,3.05,74.02,7.81
2015-02,23.12,21.3,54.68,0.91
2015-03,13.32,6.59,72.99,7.09
2015-04,16.14,0.0,74.21,9.65
2015-05,13.25,0.0,72.98,13.77
2015-06,23.12,0.0,71.21,5.67
2015-07,18.89,0.0,71.76,9.36
2015-08,16.63,7.37,74.96,1.04
2015-09,18.35,9.97,71.28,0.4
2015-10,10.99,10.35,78.66,0.0
2015-11,12.28,11.58,76.13,0.0
2015-12,18.08,11.73,70.18,0.0
2016-01,11.23,12.37,76.4,0.0
2016-02,3.3,12.17,84.54,0.0
2016-03,4.76,11.75,83.46,0.04
2016-04,6.91,17.47,75.63,0.0
2016-05,7.8,13.64,78.56,0.0
2016-06,6.6,17.52,75.88,0.0
2016-07,6.08,14.28,79.6,0.04
2016-08,5.96,14.34,79.7,0.0
2016-09,8.87,14.54,76.59,0.0
2016-10,4.37,11.74,83.89,0.0
2016-11,4.31,13.89,81.33,0.47
2016-12,9.25,13.19,77.56,0.0
2017-01,7.05,26.76,65.51,0.67
2017-02,4.92,19.39,75.7,0.0
2017-03,5.92,14.25,79.83,0.0
2017-04,1.96,18.81,79.23,0.0
2017-05,2.75,15.93,81.32,0.0
2017-06,5.48,19.64,74.88,0.0
2017-07,6.66,19.05,66.82,7.46
2017-08,6.26,13.79,77.87,2.07
2017-09,5.06,12.2,79.62,3.13
2017-10,1.49,13.31,80.34,4.86
2017-11,3.62,12.61,77.06,6.71
2017-12,2.07,13.57,77.48,6.87
2018-01,2.69,8.17,81.87,7.26
2018-02,0.71,5.66,63.53,30.1
2018-03,0.0,12.19,31.56,56.26
2018-04,0.09,12.3,4.76,82.85
2018-05,0.65,14.92,19.78,64.65
2018-06,0.0,9.18,0.14,90.68
2018-07,0.0,7.98,41.52,50.5
2018-08,0.0,15.32,84.68,0.0
2018-09,0.96,14.98,84.06,0.0
2018-10,0.54,18.7,80.76,0.0
2018-11,4.92,18.75,76.33,0.0
2018-12,3.23,16.43,80.18,0.16
2019-01,3.15,12.45,84.39,0.0
2019-02,3.44,10.33,86.23,0.0
2019-03,5.02,11.46,83.52,0.0
2019-04,5.32,10.08,84.59,0.0
2019-05,3.95,11.38,84.67,0.0
2019-06,5.62,13.65,80.73,0.0
2019-07,3.75,12.95,83.29,0.0
2019-08,5.19,11.65,83.16,0.0
2019-09,3.42,14.5,82.09,0.0
2019-10,2.84,14.26,82.9,0.0
2019-11,4.02,18.04,77.94,0.0
2019-12,3.58,14.87,81.56,0.0
2020-01,2.47,16.29,81.24,0.0
2020-02,3.31,13.91,82.77,0.0
2020-03,2.23,8.44,89.33,0.0
2020-04,0.73,9.36,89.91,0.0
2020-05,2.32,16.42,81.27,0.0
2020-06,1.19,10.2,88.61,0.0
2020-07,1.16,10.53,88.27,0.03
2020-08,0.9,4.38,94.69,0.04
2020-09,1.31,9.48,89.21,0.0
2020-10,2.57,11.22,86.17,0.05
2020-11,0.73,7.14,92.07,0.07
2020-12,0.31,5.24,94.45,0.0
2021-01,0.98,3.71,95.31,0.0
2021-02,1.12,6.95,91.93,0.0
2021-03,0.75,7.55,91.69,0.0
2021-04,0.52,7.41,92.07,0.0
2021-05,2.62,13.1,84.28,0.0
2021-06,1.14,14.4,84.46,0.0
2021-07,1.42,5.99,92.59,0.0
2021-08,1.36,9.08,89.5,0.06
2021-09,4.79,18.6,76.6,0.0
2021-10,4.34,10.86,84.81,0.0
2021-11,2.99,11.65,85.36,0.0
2021-12,3.89,14.27,81.84,0.0
2022-01,3.88,11.3,84.82,0.0
2022-02,1.86,16.17,81.93,0.05
2022-03,5.07,16.04,78.88,0.0
2022-04,5.7,12.68,81.61,0.0
2022-05,1.89,10.72,87.32,0.08
2022-06,3.97,4.5,91.53,0.0
2022-07,2.79,8.39,88.82,0.0
2022-08,5.96,11.03,83.01,0.0
2022-09,1.84,10.51,87.66,0.0
2022-10,2.48,10.62,86.9,0.0
2022-11,3.93,9.83,86.24,0.0
2022-12,4.95,16.09,78.96,0.0
2023-01,7.32,10.41,80.79,1.49
2023-02,3.98,11.29,84.73,0.0
2023-03,4.37,7.59,88.04,0.0
2023-04,4.55,6.78,88.66,0.0
2023-05,5.25,12.2,82.4,0.15
2023-06,3.08,9.55,87.25,0.12
2023-07,4.7,8.23,87.07,0.0
2023-08,4.95,9.05,86.01,0.0
2023-09,6.21,10.76,83.02,0.0
2023-10,6.54,12.43,81.03,0.0
2023-11,7.89,14.39,77.72,0.0
2023-12,7.88,8.92,82.91,0.29
2024-01,4.96,9.03,86.01,0.0
2024-02,5.9,15.91,78.12,0.07
2024-03,6.26,11.72,82.02,0.0
2024-04,5.31,18.0,76.6,0.09
2024-05,3.65,15.32,81.03,0.0
2024-06,4.02,13.65,82.33,0.0
2024-07,5.11,8.77,86.11,0.0
2024-08,1.18,11.3,87.49,0.02
2024-09,3.94,17.05,78.79,0.23
2024-10,7.63,13.93,78.13,0.31
2024-11,4.86,15.82,79.32,0.0
2024-12,2.16,14.65,83.09,0.1
2025-01,5.13,9.86,84.98,0.02
2025-02,6.72,16.75,76.53,0.0
2025-03,2.34,14.75,82.92,0.0
2025-04,2.67,12.83,84.38,0.11
2025-05,9.76,12.05,78.19,0.0
2025-06,25.02,7.46,67.51,0.0
2025-07,16.25,7.8,75.95,0.0
2025-08,22.09,5.0,72.81,0.1
2025-09,15.96,8.01,75.87,0.17
2025-10,8.11,11.07,80.82,0.0
2025-11,13.2,10.98,75.83,0.0
2025-12,15.15,10.98,73.87,0.0
2026-01,21.22,12.09,66.69,0.0
2026-02,12.8,10.55,76.65,0.0
2026-03,10.32,11.02,78.66,0.0
2026-04,9.94,11.27,78.79,0.0
