temas_en_la_racha,veces
1,15231
2,3353
3,1812
4,1392
5,1256
6,1096
7,957
8,904
9,837
10,819
11,681
12,660
13,506
14,472
15,405
16,342
17,322
18,262
19,223
20,191
21,182
22,148
23,115
24,127
25,104
26,88
27,94
28,65
29,52
30,58
31,46
32,54
33,35
34,28
35,39
36,39
37,31
38,30
39,24
40,22
41,19
42,22
43,21
44,21
45,15
46,14
47,10
48,16
49,9
50,19
51,17
52,13
53,10
54,10
55,5
56,5
57,1
58,3
59,4
60,6
61,3
62,5
63,1
64,4
65,3
66,9
67,3
68,1
69,1
70,2
71,4
72,3
73,4
74,4
75,1
76,3
77,2
78,1
79,2
81,1
82,1
84,3
85,4
87,2
89,1
90,5
93,2
94,1
98,3
102,1
103,1
106,1
110,2
114,2
115,1
117,1
118,2
120,1
121,1
122,3
128,1
129,1
134,1
135,1
136,1
138,2
139,2
140,1
143,1
149,1
150,1
152,1
154,2
159,1
161,1
163,1
173,1
174,1
182,1
185,1
197,1
205,1
212,1
