inicio,final,reproducciones
Siguio sola,La escuche entera,118166
La busque / la puse,La escuche entera,11630
Saltee la anterior,La saltee,11415
Saltee la anterior,La escuche entera,6289
Siguio sola,La saltee,6275
Siguio sola,Cerre la app,6027
Otro,Sin dato,5045
La busque / la puse,Cerre la app,4399
Siguio sola,Cerre sesion,3930
Volvi atras,Volvi atras,2654
Siguio sola,Otro,2131
Volvi atras,La escuche entera,1563
Al abrir la app,La escuche entera,1510
Le di play,La escuche entera,1400
Siguio sola,Volvi atras,1386
Le di play,Cerre la app,831
Saltee la anterior,Cerre la app,776
Saltee la anterior,Volvi atras,724
Al abrir la app,Cerre la app,722
La busque / la puse,Sin dato,705
Desde otro aparato,La escuche entera,671
Volvi atras,La saltee,543
La busque / la puse,La saltee,542
La busque / la puse,Cerre sesion,524
La busque / la puse,Otro,462
Al abrir la app,La saltee,434
Saltee la anterior,Cerre sesion,346
Otro,La escuche entera,346
Siguio sola,Desde otro aparato,335
Otro,Otro,288
Le di play,La saltee,286
Desde otro aparato,Cerre la app,227
La busque / la puse,Desde otro aparato,216
Le di play,Cerre sesion,204
