Artista,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Arctic Monkeys,0.0,13.3,23.6,30.0,63.6,86.4,94.9,102.5,141.5,145.1,163.3,180.4,181.9
Baby Keem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1,69.4,74.1,76.2,78.8,93.9
Bad Bunny,0.0,0.0,0.0,0.4,0.4,28.1,31.2,32.0,72.9,73.9,76.4,77.6,83.5
D'Angelo,0.0,0.0,0.0,12.9,34.5,38.5,40.3,44.6,45.2,52.0,53.4,76.6,79.6
Dano,0.0,0.0,0.0,0.0,0.0,42.3,44.4,48.7,48.8,68.3,71.7,71.9,71.9
Drake,0.0,0.0,0.1,15.5,26.9,71.7,100.3,160.8,241.8,275.3,279.2,293.5,298.0
Frank Ocean,0.0,0.0,0.0,0.2,1.6,94.5,209.6,308.3,370.3,394.0,400.7,415.1,424.7
Freddie Gibbs,0.0,0.0,0.2,0.2,0.2,2.9,41.5,52.6,65.1,66.7,69.5,79.5,88.9
Giveon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,74.4,74.5,74.5,74.5,74.5
Gorillaz,8.9,10.6,57.5,60.0,78.4,82.1,88.9,92.1,94.6,95.0,95.0,98.0,99.0
Gustavo Cerati,1.5,28.0,54.9,59.3,67.7,68.0,68.4,76.5,78.5,78.8,86.3,87.2,90.5
John Frusciante,0.0,6.1,34.0,36.5,36.9,49.9,56.7,67.2,67.9,67.9,71.1,74.6,74.7
KAYTRANADA,0.0,0.0,0.1,0.4,0.6,47.0,113.6,125.2,141.5,145.7,159.7,193.7,196.2
Kanye West,0.0,0.0,30.5,31.5,34.0,40.2,53.2,116.2,155.5,158.2,177.0,202.1,224.5
Kendrick Lamar,0.0,0.0,206.1,243.9,256.3,323.8,343.9,354.6,465.2,483.0,532.7,595.1,609.4
Knxwledge,0.0,0.0,4.1,17.5,28.5,53.5,148.0,208.2,240.8,249.8,252.5,260.9,260.9
Lisandro Aristimuño,0.0,40.4,76.0,83.0,85.9,88.7,90.9,100.4,100.4,100.4,100.4,100.4,102.4
Luis Alberto Spinetta,0.8,3.7,8.3,12.2,13.0,34.1,45.4,67.9,70.0,71.9,81.2,93.1,100.8
NxWorries,0.0,0.0,0.0,8.8,36.7,49.3,58.2,93.7,102.4,107.3,134.6,135.8,142.4
Patricio Rey y sus Redonditos de Ricota,0.0,0.0,0.0,0.5,0.8,0.8,3.9,4.0,4.6,5.1,5.2,53.3,129.5
Red Hot Chili Peppers,11.2,57.6,101.4,105.2,109.8,122.7,127.4,136.5,145.7,146.9,147.2,156.5,157.1
SZA,0.0,0.0,0.0,6.7,10.1,18.9,32.5,37.5,55.1,62.9,66.5,69.2,70.0
The Last Shadow Puppets,0.0,0.3,56.9,59.8,62.5,72.3,73.1,81.7,82.7,82.7,82.7,83.0,83.0
The Weeknd,0.0,0.0,73.7,208.3,265.5,322.1,372.4,375.5,397.2,400.8,400.9,406.4,406.8
Travis Scott,0.0,0.1,0.1,0.1,12.7,54.2,58.5,59.1,60.4,69.0,75.5,77.9,77.9
