dia,dia_semana,hora,horas
Lunes,0,0,32.1
Lunes,0,1,26.8
Lunes,0,2,11.5
Lunes,0,3,8.2
Lunes,0,4,7.5
Lunes,0,5,8.1
Lunes,0,6,20.5
Lunes,0,7,30.5
Lunes,0,8,58.5
Lunes,0,9,90.9
Lunes,0,10,95.3
Lunes,0,11,84.8
Lunes,0,12,88.8
Lunes,0,13,73.0
Lunes,0,14,59.3
Lunes,0,15,91.6
Lunes,0,16,105.8
Lunes,0,17,105.6
Lunes,0,18,132.3
Lunes,0,19,83.4
Lunes,0,20,74.5
Lunes,0,21,72.8
Lunes,0,22,59.1
Lunes,0,23,41.5
Martes,1,0,24.4
Martes,1,1,12.7
Martes,1,2,8.7
Martes,1,3,4.7
Martes,1,4,5.6
Martes,1,5,3.5
Martes,1,6,6.4
Martes,1,7,19.9
Martes,1,8,44.8
Martes,1,9,98.6
Martes,1,10,101.7
Martes,1,11,84.9
Martes,1,12,101.9
Martes,1,13,93.0
Martes,1,14,82.6
Martes,1,15,104.4
Martes,1,16,106.8
Martes,1,17,93.5
Martes,1,18,111.6
Martes,1,19,88.1
Martes,1,20,62.9
Martes,1,21,59.8
Martes,1,22,48.9
Martes,1,23,32.5
Miercoles,2,0,19.2
Miercoles,2,1,15.0
Miercoles,2,2,12.1
Miercoles,2,3,5.5
Miercoles,2,4,4.6
Miercoles,2,5,2.9
Miercoles,2,6,9.7
Miercoles,2,7,21.7
Miercoles,2,8,43.7
Miercoles,2,9,86.9
Miercoles,2,10,90.5
Miercoles,2,11,79.8
Miercoles,2,12,95.8
Miercoles,2,13,88.1
Miercoles,2,14,69.5
Miercoles,2,15,99.4
Miercoles,2,16,112.1
Miercoles,2,17,96.9
Miercoles,2,18,112.9
Miercoles,2,19,82.7
Miercoles,2,20,58.7
Miercoles,2,21,61.3
Miercoles,2,22,54.1
Miercoles,2,23,38.6
Jueves,3,0,30.6
Jueves,3,1,25.7
Jueves,3,2,11.5
Jueves,3,3,7.6
Jueves,3,4,4.7
Jueves,3,5,3.8
Jueves,3,6,8.7
Jueves,3,7,15.7
Jueves,3,8,37.3
Jueves,3,9,78.4
Jueves,3,10,83.2
Jueves,3,11,85.0
Jueves,3,12,89.2
Jueves,3,13,74.9
Jueves,3,14,72.5
Jueves,3,15,88.0
Jueves,3,16,111.6
Jueves,3,17,123.8
Jueves,3,18,127.9
Jueves,3,19,94.6
Jueves,3,20,70.1
Jueves,3,21,62.0
Jueves,3,22,52.8
Jueves,3,23,37.7
Viernes,4,0,37.8
Viernes,4,1,15.3
Viernes,4,2,10.4
Viernes,4,3,8.0
Viernes,4,4,3.6
Viernes,4,5,3.2
Viernes,4,6,7.3
Viernes,4,7,21.1
Viernes,4,8,39.8
Viernes,4,9,89.0
Viernes,4,10,101.1
Viernes,4,11,101.3
Viernes,4,12,105.5
Viernes,4,13,84.9
Viernes,4,14,71.6
Viernes,4,15,96.0
Viernes,4,16,124.6
Viernes,4,17,114.6
Viernes,4,18,104.3
Viernes,4,19,71.8
Viernes,4,20,65.8
Viernes,4,21,62.5
Viernes,4,22,53.8
Viernes,4,23,35.0
Sabado,5,0,30.2
Sabado,5,1,30.2
Sabado,5,2,34.2
Sabado,5,3,18.8
Sabado,5,4,9.9
Sabado,5,5,6.8
Sabado,5,6,3.3
Sabado,5,7,2.7
Sabado,5,8,5.3
Sabado,5,9,14.8
Sabado,5,10,45.0
Sabado,5,11,58.8
Sabado,5,12,89.4
Sabado,5,13,85.0
Sabado,5,14,87.9
Sabado,5,15,90.0
Sabado,5,16,85.0
Sabado,5,17,81.7
Sabado,5,18,78.0
Sabado,5,19,67.4
Sabado,5,20,63.6
Sabado,5,21,54.4
Sabado,5,22,44.9
Sabado,5,23,33.4
Domingo,6,0,27.2
Domingo,6,1,28.6
Domingo,6,2,21.6
Domingo,6,3,13.4
Domingo,6,4,6.1
Domingo,6,5,3.3
Domingo,6,6,2.4
Domingo,6,7,2.1
Domingo,6,8,2.0
Domingo,6,9,4.5
Domingo,6,10,13.2
Domingo,6,11,28.4
Domingo,6,12,53.6
Domingo,6,13,49.8
Domingo,6,14,47.5
Domingo,6,15,58.2
Domingo,6,16,57.7
Domingo,6,17,51.7
Domingo,6,18,57.4
Domingo,6,19,57.1
Domingo,6,20,50.9
Domingo,6,21,50.7
Domingo,6,22,43.9
Domingo,6,23,34.7
