artista,track,reproducciones,pct_skip,seg_promedio
Inti-Illimani,Bonus Track - El Canto de Todos,16,100.0,5.0
Macaco,Blue (feat. Jorge Drexler & Joan Manuel Serrat) - Diminuto Planeta Azul,24,95.8,12.0
Ismael Serrano,Canción Para Un Viejo Amigo,17,94.1,21.0
Luis Alberto Spinetta,La Pelicana y El Androide,16,93.8,49.0
Ana Belén,La Puerta De Alcalá - En Directo,26,92.3,48.0
Joan Manuel Serrat,Poema de Amor,20,90.0,30.0
Joan Manuel Serrat,Paraules D'amor (with Pablo Alborán),19,89.5,34.0
Lisandro Aristimuño,Fecundación (Te Llamo Sin Parar),18,88.9,57.0
Joan Manuel Serrat,Tio Alberto,28,85.7,23.0
Juanito Valderrama,El Emigrante,26,84.6,23.0
Maria Dolores Pradera,Tu Nombre Me Sabe a Hierba (with Joan Manuel Serrat),25,84.0,30.0
Joan Manuel Serrat,He Andado Muchos Caminos,24,83.3,25.0
Joan Manuel Serrat,Es Caprichoso el Azar (with Noa) - Remasterizado,19,78.9,77.0
Joan Manuel Serrat,Poco Antes de Que Den las Diez,19,78.9,53.0
Silvio Rodríguez,Qué Se Puede Hacer Con el Amor,34,76.5,64.0
Los Chalchaleros,Zamba del Grillo (feat. Joan Manuel Serrat),29,75.9,45.0
Joan Manuel Serrat,Porque la Queria,24,75.0,45.0
Lisandro Aristimuño,Días Breves,16,75.0,72.0
Danger Mouse,Cheat Codes,15,73.3,44.0
Joan Manuel Serrat,Vagabundear,29,72.4,28.0
Amaya,Palabras De Amor,21,71.4,63.0
Lisandro Aristimuño,Demasiado,24,70.8,64.0
Joan Manuel Serrat,De Vez en Cuando la Vida - En Directo,24,70.8,47.0
Soda Stereo,Primavera 0,17,70.6,83.0
Lisandro Aristimuño,Vi Tu Foto,20,70.0,61.0
Ana Belén,Paraules D'amor - En Directo,26,69.2,76.0
Lisandro Aristimuño,Cosas de un Soñador,32,68.8,72.0
Lisandro Aristimuño,El Árbol Caído,19,68.4,67.0
Duki,Midtown,22,68.2,52.0
The Police,Message In A Bottle,21,66.7,93.0
Pablo Milanés,Yo Pisare las Calles Nuevamente (with Joan Manuel Serrat),24,66.7,55.0
MF DOOM,Rapp Snitch Knishes,17,64.7,59.0
Joan Manuel Serrat,Penelope,28,64.3,50.0
Ana Belén,Mediterráneo - En Directo,22,63.6,95.0
Red Hot Chili Peppers,Blood Sugar Sex Magik,22,63.6,100.0
Joan Manuel Serrat,... De Carton Piedra,22,63.6,87.0
Joan Manuel Serrat,Quien Me Ha Robado El Mes De Abril,27,63.0,82.0
Esperanza Spalding,Elevate Or Operate,16,62.5,109.0
MF DOOM,Doomsday,29,62.1,124.0
Duki,BICI,21,61.9,109.0
