artista,track,repros,skips,pct_skip,esta_en_mi_biblioteca
Macaco,Blue (feat. Jorge Drexler & Joan Manuel Serrat) - Diminuto Planeta Azul,24,23,95.8,False
Ana Belén,La Puerta De Alcalá - En Directo,26,24,92.3,False
Joan Manuel Serrat,Poema de Amor,20,18,90.0,False
Joan Manuel Serrat,Tio Alberto,28,24,85.7,False
Juanito Valderrama,El Emigrante,26,22,84.6,False
Maria Dolores Pradera,Tu Nombre Me Sabe a Hierba (with Joan Manuel Serrat),25,21,84.0,False
Joan Manuel Serrat,He Andado Muchos Caminos,24,20,83.3,False
Silvio Rodríguez,Qué Se Puede Hacer Con el Amor,34,26,76.5,True
Los Chalchaleros,Zamba del Grillo (feat. Joan Manuel Serrat),29,22,75.9,False
Joan Manuel Serrat,Porque la Queria,24,18,75.0,False
Joan Manuel Serrat,Vagabundear,29,21,72.4,False
Amaya,Palabras De Amor,21,15,71.4,False
Lisandro Aristimuño,Demasiado,24,17,70.8,False
Joan Manuel Serrat,De Vez en Cuando la Vida - En Directo,24,17,70.8,False
Lisandro Aristimuño,Vi Tu Foto,20,14,70.0,True
Ana Belén,Paraules D'amor - En Directo,26,18,69.2,False
Lisandro Aristimuño,Cosas de un Soñador,32,22,68.8,True
Duki,Midtown,22,15,68.2,False
Pablo Milanés,Yo Pisare las Calles Nuevamente (with Joan Manuel Serrat),24,16,66.7,False
The Police,Message In A Bottle,21,14,66.7,False
Joan Manuel Serrat,Penelope,28,18,64.3,False
Joan Manuel Serrat,... De Carton Piedra,22,14,63.6,False
Red Hot Chili Peppers,Blood Sugar Sex Magik,22,14,63.6,False
Ana Belén,Mediterráneo - En Directo,22,14,63.6,False
Joan Manuel Serrat,Quien Me Ha Robado El Mes De Abril,27,17,63.0,False
MF DOOM,Doomsday,29,18,62.1,False
Duki,BICI,21,13,61.9,False
Kendrick Lamar,"Bitch, Don’t Kill My Vibe - International Remix / Explicit Version",20,12,60.0,True
Lisandro Aristimuño,Otra Canción de Cuna,27,16,59.3,True
Red Hot Chili Peppers,Wet Sand,41,24,58.5,False
