hora,busquedas,reproducciones,busquedas_pct,reproducciones_pct
0,2.0,79,1.09,2.13
1,24.0,60,13.11,1.62
2,3.0,26,1.64,0.7
3,0.0,2,0.0,0.05
4,0.0,0,0.0,0.0
5,0.0,1,0.0,0.03
6,2.0,81,1.09,2.19
7,9.0,196,4.92,5.29
8,9.0,187,4.92,5.05
9,3.0,155,1.64,4.18
10,12.0,180,6.56,4.86
11,8.0,285,4.37,7.69
12,25.0,250,13.66,6.75
13,11.0,241,6.01,6.5
14,13.0,137,7.1,3.7
15,8.0,211,4.37,5.7
16,11.0,485,6.01,13.09
17,14.0,364,7.65,9.82
18,1.0,342,0.55,9.23
19,4.0,162,2.19,4.37
20,6.0,67,3.28,1.81
21,7.0,97,3.83,2.62
22,5.0,36,2.73,0.97
23,6.0,61,3.28,1.65
