fecha,abrio,busquedas
2026-06-08,sin resultado,8
2026-06-09,sin resultado,14
2026-06-10,playlist,1
2026-06-10,sin resultado,23
2026-06-12,artista,1
2026-06-12,sin resultado,1
2026-06-13,album,1
2026-06-13,playlist,1
2026-06-13,sin resultado,10
2026-06-18,sin resultado,5
2026-06-19,cancion,1
2026-06-19,otro,1
2026-06-19,sin resultado,4
2026-06-20,playlist,1
2026-06-20,sin resultado,6
2026-06-21,cancion,1
2026-06-21,otro,1
2026-06-21,sin resultado,15
2026-06-22,cancion,1
2026-06-22,sin resultado,10
2026-06-23,sin resultado,25
2026-06-24,sin resultado,6
2026-06-25,sin resultado,18
2026-06-27,sin resultado,7
2026-06-28,playlist,1
2026-06-28,sin resultado,4
2026-07-03,sin resultado,34
2026-07-04,sin resultado,10
2026-07-06,album,1
2026-07-06,sin resultado,2
2026-07-08,album,1
2026-07-08,sin resultado,1
2026-07-10,cancion,1
2026-07-10,sin resultado,8
2026-07-11,album,1
2026-07-11,sin resultado,8
2026-07-12,album,1
2026-07-12,sin resultado,2
2026-07-14,sin resultado,4
2026-07-16,sin resultado,8
2026-07-20,sin resultado,8
2026-07-21,sin resultado,9
2026-07-23,sin resultado,6
2026-07-24,sin resultado,5
2026-07-25,cancion,1
2026-07-25,sin resultado,1
2026-07-26,cancion,1
2026-07-26,sin resultado,3
2026-07-27,sin resultado,1
2026-07-28,album,2
2026-07-28,cancion,1
2026-07-28,sin resultado,10
2026-07-29,album,1
2026-07-29,sin resultado,3
2026-07-30,sin resultado,15
2026-07-31,cancion,1
2026-07-31,sin resultado,19
2026-08-01,cancion,1
2026-08-01,sin resultado,4
2026-08-02,album,1
2026-08-02,artista,1
2026-08-02,sin resultado,24
2026-08-03,sin resultado,14
2026-08-04,album,1
2026-08-04,sin resultado,9
2026-08-06,album,1
2026-08-06,sin resultado,23
2026-08-10,cancion,1
2026-08-10,sin resultado,4
2026-08-13,cancion,1
2026-08-13,sin resultado,8
2026-08-14,album,1
2026-08-14,artista,1
2026-08-14,sin resultado,10
2026-08-17,album,1
2026-08-17,sin resultado,9
2026-08-18,album,1
2026-08-18,sin resultado,74
2026-08-19,sin resultado,51
2026-08-20,album,1
2026-08-20,sin resultado,16
2026-08-21,sin resultado,22
2026-08-23,album,5
2026-08-23,artista,1
2026-08-23,cancion,6
2026-08-23,otro,1
2026-08-23,sin resultado,73
2026-08-25,artista,1
2026-08-25,sin resultado,17
2026-08-26,album,1
2026-08-26,artista,1
2026-08-26,cancion,2
2026-08-26,sin resultado,26
2026-08-27,artista,1
2026-08-27,sin resultado,5
2026-08-28,album,1
2026-08-28,sin resultado,4
2026-09-01,sin resultado,16
2026-09-02,sin resultado,3
2026-09-04,sin resultado,19
