consulta,pulsaciones,fecha,hora,abrio,fructifera
indio,8,2026-06-08,7,no abrio nada,False
angel de la,7,2026-06-09,10,no abrio nada,False
angel de la,1,2026-06-09,12,no abrio nada,False
habia una,6,2026-06-09,12,no abrio nada,False
el mister,6,2026-06-10,11,no abrio nada,False
el mister,1,2026-06-10,11,no abrio nada,False
yo no me cai,14,2026-06-10,11,no abrio nada,False
desc,3,2026-06-10,18,playlist,True
dre,2,2026-06-12,15,artista,True
this isser,5,2026-06-13,12,no abrio nada,False
this iserra,1,2026-06-13,12,no abrio nada,False
this is serra,1,2026-06-13,12,playlist,True
tobp,3,2026-06-13,13,no abrio nada,False
to pimp,2,2026-06-13,13,album,True
aquella,5,2026-06-18,11,no abrio nada,False
song to the siren,6,2026-06-19,21,otro,True
song to the siren,1,2026-06-20,16,no abrio nada,False
this is,6,2026-06-20,17,playlist,True
ultimo bondi,12,2026-06-21,0,otro,True
juguent,4,2026-06-21,0,cancion,True
juguen,1,2026-06-21,10,no abrio nada,False
en el rio,6,2026-06-22,21,no abrio nada,False
en el río nompa,5,2026-06-22,21,cancion,True
juguetes,7,2026-06-23,7,no abrio nada,False
juguetes,1,2026-06-23,12,no abrio nada,False
juguetes,1,2026-06-23,12,no abrio nada,False
habia una,6,2026-06-23,12,no abrio nada,False
habia una,1,2026-06-23,12,no abrio nada,False
bocanada,8,2026-06-23,12,no abrio nada,False
en el río nompa,1,2026-06-23,16,no abrio nada,False
salando,6,2026-06-24,11,no abrio nada,False
j cole,5,2026-06-25,7,no abrio nada,False
sala,4,2026-06-25,8,no abrio nada,False
sala,1,2026-06-25,11,no abrio nada,False
pappo's blues,5,2026-06-25,11,no abrio nada,False
lali,3,2026-06-25,12,no abrio nada,False
this is,7,2026-06-27,17,no abrio nada,False
indio,5,2026-06-28,1,playlist,True
atu,6,2026-07-03,12,no abrio nada,False
sonder son,7,2026-07-03,13,no abrio nada,False
sonder son,5,2026-07-03,14,no abrio nada,False
saland,1,2026-07-03,15,no abrio nada,False
musica para pasti,14,2026-07-03,15,no abrio nada,False
musica para pasti,1,2026-07-03,15,no abrio nada,False
yo canibal,10,2026-07-04,2,no abrio nada,False
blonde,3,2026-07-06,16,album,True
gulp,2,2026-07-08,13,album,True
thun,3,2026-07-10,16,no abrio nada,False
thinking,6,2026-07-10,16,cancion,True
nivember,5,2026-07-11,17,no abrio nada,False
November scorp,4,2026-07-11,17,album,True
bronca,3,2026-07-12,21,album,True
gulp,4,2026-07-14,19,no abrio nada,False
metronomo,8,2026-07-16,14,no abrio nada,False
yo canibal,8,2026-07-20,7,no abrio nada,False
tarea fina,9,2026-07-21,8,no abrio nada,False
sonder,6,2026-07-23,16,no abrio nada,False
nerd,5,2026-07-24,14,no abrio nada,False
sq,2,2026-07-25,13,cancion,True
tarea fina,4,2026-07-26,19,cancion,True
tarea fina,1,2026-07-27,6,no abrio nada,False
xe,1,2026-07-28,17,no abrio nada,False
debut,5,2026-07-28,17,album,True
through the,6,2026-07-28,22,cancion,True
808,1,2026-07-28,23,album,True
vince,4,2026-07-29,8,album,True
magnus,5,2026-07-30,12,no abrio nada,False
magnus,1,2026-07-30,16,no abrio nada,False
you will,5,2026-07-30,16,no abrio nada,False
808,4,2026-07-30,16,no abrio nada,False
snow,4,2026-07-31,12,cancion,True
rockanroll del pais,16,2026-07-31,14,no abrio nada,False
yo cani,5,2026-08-01,21,cancion,True
kendrick,8,2026-08-02,15,no abrio nada,False
santiago,6,2026-08-02,17,artista,True
piñata,5,2026-08-02,20,album,True
kendrick,1,2026-08-02,22,no abrio nada,False
lobo esta,6,2026-08-02,22,no abrio nada,False
una de pia,6,2026-08-03,10,no abrio nada,False
una de las tres marías,1,2026-08-03,10,no abrio nada,False
una de las chicas,1,2026-08-03,10,no abrio nada,False
una de piratas,1,2026-08-03,10,no abrio nada,False
una de kal,1,2026-08-03,10,no abrio nada,False
una de pirat,4,2026-08-03,10,no abrio nada,False
giveon,6,2026-08-04,9,no abrio nada,False
alfredo,4,2026-08-04,21,album,True
bang,4,2026-08-06,13,no abrio nada,False
fan tastic inst,10,2026-08-06,14,no abrio nada,False
fantastic baby,1,2026-08-06,14,no abrio nada,False
fantastic band show,1,2026-08-06,14,no abrio nada,False
fantastic baby live,1,2026-08-06,14,no abrio nada,False
fantastic baby japanese ver.,1,2026-08-06,14,no abrio nada,False
fan tastic instrumen,5,2026-08-06,14,no abrio nada,False
fan tastic instrumen,1,2026-08-06,14,album,True
runaway,5,2026-08-10,19,cancion,True
saland,5,2026-08-13,8,no abrio nada,False
tarea fina,4,2026-08-13,23,cancion,True
eliza,5,2026-08-14,7,no abrio nada,False
artau,3,2026-08-14,21,album,True
eliza,4,2026-08-14,22,artista,True
Daniel,4,2026-08-17,16,album,True
artaud,6,2026-08-17,19,no abrio nada,False
artau,1,2026-08-18,6,album,True
a estos hombres tristes instrumental version,13,2026-08-18,8,no abrio nada,False
a estos hombres tristes en vivo estadio vélez sarsfield with almendra,1,2026-08-18,8,no abrio nada,False
a estos papus tristes,1,2026-08-18,8,no abrio nada,False
a estos hombres,3,2026-08-18,8,no abrio nada,False
a estos hombres,1,2026-08-18,8,no abrio nada,False
a estos hombres,1,2026-08-18,9,no abrio nada,False
a estos hombres,1,2026-08-18,9,no abrio nada,False
a estos hombres,1,2026-08-18,12,no abrio nada,False
si no h,9,2026-08-18,12,no abrio nada,False
to beef,6,2026-08-18,12,no abrio nada,False
the alchemist,16,2026-08-18,20,no abrio nada,False
double07,8,2026-08-18,20,no abrio nada,False
double 07 instrumental,2,2026-08-18,20,no abrio nada,False
double0gang songs,1,2026-08-18,20,no abrio nada,False
double0gang top songs,1,2026-08-18,20,no abrio nada,False
double07,1,2026-08-18,23,no abrio nada,False
almendra,8,2026-08-18,23,no abrio nada,False
almendra,5,2026-08-19,1,no abrio nada,False
a es,1,2026-08-19,1,no abrio nada,False
nena tu cabeza,9,2026-08-19,1,no abrio nada,False
fuego gris,6,2026-08-19,1,no abrio nada,False
slum vila,9,2026-08-19,14,no abrio nada,False
lover boy,6,2026-08-19,17,no abrio nada,False
wastelands,7,2026-08-19,17,no abrio nada,False
"wasteland, baby!",3,2026-08-19,17,no abrio nada,False
fuego gris,1,2026-08-19,23,no abrio nada,False
mf doom,4,2026-08-19,23,no abrio nada,False
blonde,4,2026-08-20,13,album,True
blonde,4,2026-08-20,14,no abrio nada,False
blonde,1,2026-08-20,17,no abrio nada,False
tarea fina,8,2026-08-20,17,no abrio nada,False
tarea fin,8,2026-08-21,7,no abrio nada,False
tarea fin,1,2026-08-21,7,no abrio nada,False
lisandro aristi,13,2026-08-21,13,no abrio nada,False
pacman,1,2026-08-23,1,no abrio nada,False
gulp,4,2026-08-23,1,album,True
gardelitos,7,2026-08-23,1,otro,True
comandante mar,10,2026-08-23,1,cancion,True
pappocvol w,10,2026-08-23,1,album,True
pappocvol 2,1,2026-08-23,1,album,True
ekl,1,2026-08-23,1,no abrio nada,False
lla debe,5,2026-08-23,1,no abrio nada,False
ella debe,6,2026-08-23,1,cancion,True
sonando,6,2026-08-23,1,cancion,True
todo,5,2026-08-23,1,cancion,True
virus,2,2026-08-23,1,no abrio nada,False
vogue,1,2026-08-23,1,no abrio nada,False
virgen,1,2026-08-23,1,no abrio nada,False
viejas,1,2026-08-23,1,no abrio nada,False
voylll,3,2026-08-23,1,no abrio nada,False
manal,5,2026-08-23,1,album,True
la renfa,4,2026-08-23,1,no abrio nada,False
la renga ser yo,6,2026-08-23,1,album,True
loob,5,2026-08-23,2,no abrio nada,False
lobo,2,2026-08-23,2,cancion,True
Maria,2,2026-08-25,12,no abrio nada,False
mafia,2,2026-08-25,12,no abrio nada,False
Maria bec,2,2026-08-25,12,no abrio nada,False
mafi,1,2026-08-25,12,no abrio nada,False
Maria be,1,2026-08-25,12,no abrio nada,False
Maria b,6,2026-08-25,12,no abrio nada,False
