familia,etiqueta,es_musical
Segmento publicitario,2024 Wrapped Engagers,False
Segmento publicitario,Amazon Streamers [Advertiser-Specific],False
Segmento publicitario,Android Mobile Streamers,False
Afinidad con artista (anonimizada),0722b6,True
Afinidad con artista (anonimizada),09af40,True
Afinidad con artista (anonimizada),1148dd,True
Afinidad con artista (anonimizada),1d18df,True
Afinidad con artista (anonimizada),277b69,True
Afinidad con artista (anonimizada),62b3e9,True
Afinidad con artista (anonimizada),692a9d,True
Afinidad con artista (anonimizada),a25820,True
Afinidad con artista (anonimizada),c7c1a3,True
Afinidad con artista (anonimizada),cbf144,True
Afinidad con artista (anonimizada),cda02f,True
Afinidad con artista (anonimizada),d03216,True
Afinidad con artista (anonimizada),e6b848,True
Segmento publicitario,Auto Premium Car Streamers,False
Segmento publicitario,Auto Volkswagen [Advertiser-Specific],False
Segmento publicitario,Desktop Streamers,False
Segmento publicitario,English Language Content Listeners,False
Afinidad con evento,EventAffinity,True
Afinidad con evento,EventAffinity,True
Afinidad con evento,EventAffinity,True
Afinidad con evento,EventAffinity,True
Segmento publicitario,Gmail Users [Advertiser-Restricted],False
Segmento publicitario,Google Chrome Users [Advertiser-Restricted],False
Segmento publicitario,India 10Kto20K Device Listeners,False
Segmento publicitario,Social Streamers Broad,False
Segmento publicitario,Windows Users [Advertiser-Restricted],False
Segmento publicitario,Custom Toys & Board / Card Games Enthusiasts FR,False
Segmento publicitario,Entertainment Enthusiasts BR,False
Segmento publicitario,Entertainment Enthusiasts MX,False
Segmento publicitario,Algorithmic [Required] On Repeat Sponsored Playlist Audience,False
Interes: Academic Interests,Academic Interests,False
Interes: Business and Finance,Business and Finance,False
Interes: Education,Education,False
Interes: Fine Art,Fine Art,False
Interes: Healthy Living,Healthy Living,False
Interes: Hobbies & Interests,Hobbies and Interests,False
Interes: In-Car Listening,In-Car Listening,False
Interes: Movies,Movies,False
Interes: Music,Alternative R&B,True
Interes: Music,Alternative,True
Interes: Music,Bachata,True
Interes: Music,Blues,True
Interes: Music,Classic Rock,True
Interes: Music,EDM,True
Interes: Music,Eras Oldies,True
Interes: Music,Folk,True
Interes: Music,Hip-hop,True
Interes: Music,Indie,True
Interes: Music,Jazz,True
Interes: Music,Latin Pop,True
Interes: Music,Latin,True
Interes: Music,Metal,True
Interes: Music,Music,True
Interes: Music,Old School Hip-hop,True
Interes: Music,Pop,True
Interes: Music,Punk,True
Interes: Music,R&B,True
Interes: Music,Reggae,True
Interes: Music,Reggaeton,True
Interes: Music,Rock,True
Interes: Music,Soul,True
Interes: Pop Culture,Pop Culture,False
Interes: Sports,Sports,False
Interes: Studying and Focusing,Studying and Focusing,False
Interes: Technology & Computing,Technology & Computing,False
Interes: Television,Television,False
Interes: Travel,Travel,False
Interes: Video Gaming,Video Gaming,False
