artistName,segment
Dj Batata,Previously Active Listeners
Drake,Previously Active Listeners
Fianru,Previously Active Listeners
Snoop Dogg,Previously Active Listeners
"The Last Artful, Dodgr",Previously Active Listeners
Nonpalidece,Previously Active Listeners
K.O.G,Previously Active Listeners
The RH Factor,Previously Active Listeners
Bruno Mars,Previously Active Listeners
Sexyy Red,Previously Active Listeners
Slay Squad,Previously Active Listeners
Night Skinny,Previously Active Listeners
MF DOOM,Super Listeners
Foo Fighters,Previously Active Listeners
Saltyyyy V,Previously Active Listeners
Stacy Epps,Light listeners
Los Fundamentalistas del Aire Acondicionado,Previously Active Listeners
Flying Lotus,Previously Active Listeners
Headie One,Previously Active Listeners
Mndsgn,Previously Active Listeners
Ana Belén,Light listeners
Zell,Previously Active Listeners
Kaidi Akinnibi,Previously Active Listeners
Jay Rock,Previously Active Listeners
Dua Lipa,Previously Active Listeners
Young Thug,Previously Active Listeners
Quelle Chris,Previously Active Listeners
BossMan Dlow,Previously Active Listeners
Sirio,Previously Active Listeners
Nas,Light listeners
Tanner Adell,Previously Active Listeners
Tim Buckley,Previously Active Listeners
Bill Withers,Previously Active Listeners
Joan Manuel Serrat,Super Listeners
Arcángel,Previously Active Listeners
BAJO WEST 1708,Previously Active Listeners
SERAPHINE NOIR,Previously Active Listeners
Santiago Motorizado,Previously Active Listeners
Rick Ross,Light listeners
Mos Def,Previously Active Listeners
Cerounno,Previously Active Listeners
Rocco Palladino,Previously Active Listeners
Gucci Mane,Previously Active Listeners
Teresa Parodi,Previously Active Listeners
Robert Glasper,Previously Active Listeners
Anderson .Paak,Previously Active Listeners
SWEATA,Previously Active Listeners
Madlib,Super Listeners
Veeyam,Previously Active Listeners
Mora,Previously Active Listeners
Vinyltracker,Previously Active Listeners
Ronpe 99,Previously Active Listeners
DESTIN CONRAD,Previously Active Listeners
Maxwell,Previously Active Listeners
WOS,Previously Active Listeners
Gnarls Barkley,Previously Active Listeners
DRAM,Moderate listeners
Yé,Previously Active Listeners
Homer El Mero Mero,Previously Active Listeners
CACUCA,Light listeners
Junkie XL,Previously Active Listeners
Reuben Vincent,Previously Active Listeners
Tío La Bomba,Previously Active Listeners
