artista,horas,repros,rank_escucha,sigo_al_artista,temas_guardados
Kendrick Lamar,609.4,10446,1,True,91
Frank Ocean,424.7,8267,2,True,5
The Weeknd,406.8,7517,3,True,118
Drake,298.0,5940,4,False,80
Knxwledge,260.9,10429,5,True,101
Kanye West,224.5,4752,6,True,39
KAYTRANADA,196.2,4446,7,False,13
Arctic Monkeys,181.9,4395,8,True,16
Red Hot Chili Peppers,157.1,3400,9,True,14
NxWorries,142.4,3976,10,True,23
Patricio Rey y sus Redonditos de Ricota,129.5,2650,11,False,8
Lisandro Aristimuño,102.4,2314,12,True,33
Luis Alberto Spinetta,100.8,1963,13,True,22
Gorillaz,99.0,2257,14,True,87
Baby Keem,93.9,2046,15,True,1
Gustavo Cerati,90.5,1744,16,True,32
Freddie Gibbs,88.9,1828,17,True,0
Bad Bunny,83.5,1901,18,True,15
The Last Shadow Puppets,83.0,1844,19,True,29
D'Angelo,79.6,1230,20,True,25
Travis Scott,77.9,1580,21,False,17
John Frusciante,74.7,1552,22,True,17
Giveon,74.5,1887,23,False,0
Dano,71.9,1397,24,True,14
SZA,70.0,1474,25,True,14
Anderson .Paak,68.8,1426,26,False,41
Silvio Rodríguez,67.5,1491,27,True,11
Björk,63.3,1083,28,True,51
Michael Jackson,62.8,1191,29,True,22
James Blake,60.7,1090,30,False,12
Pink Floyd,57.5,951,31,False,11
Flying Lotus,56.2,1781,32,True,39
Duki,56.1,1376,33,True,1
Damon Albarn,53.5,920,34,True,12
Justin Bieber,52.1,1092,35,False,18
Brent Faiyaz,49.5,1078,36,False,0
Daniel Caesar,49.2,968,37,False,0
Bob Marley & The Wailers,48.9,1002,38,True,22
Lil Supa,48.8,1069,39,False,3
Tom Misch,47.6,853,40,False,13
Solange,47.5,1465,41,True,0
Son Lux,45.0,854,42,True,35
Childish Gambino,42.8,658,43,False,32
Joan Manuel Serrat,42.4,1308,44,False,1
Soda Stereo,42.4,830,45,True,0
David Gilmour,42.1,646,46,True,12
YSY A,41.6,1060,47,False,0
Steve Lacy,41.0,981,48,True,0
Tame Impala,40.8,750,49,False,13
ROSALÍA,40.8,1112,50,True,27
Daft Punk,39.0,695,51,True,14
Jay Electronica,36.6,605,52,False,0
Alborosie,35.6,787,53,True,14
"Tyler, The Creator",34.7,726,54,False,32
Invisible,34.6,500,55,True,6
ELIZA,33.7,574,56,False,1
Alabama Shakes,33.2,613,57,True,12
Madvillain,33.1,1127,58,False,23
Spinetta Jade,31.2,569,59,True,12
9th Wonder,30.7,1028,60,True,1
